ResourceType     Locations    Name                      Zones    Restrictions
virtualMachines  eastus       Standard_M128ds_v2        1,2,3    None
virtualMachines  eastus       Standard_M128m            1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M128ms           1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M128ms_v2        1,2,3    None
virtualMachines  eastus       Standard_M128s            1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M128s_v2         1,2,3    None
virtualMachines  eastus       Standard_M16-4ms          1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M16-8ms          1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M16ms            1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M192idms_v2      1,2,3    None
virtualMachines  eastus       Standard_M192ids_v2       1,2,3    None
virtualMachines  eastus       Standard_M192ims_v2       1,2,3    None
virtualMachines  eastus       Standard_M192is_v2        1,2,3    None
virtualMachines  eastus       Standard_M208ms_v2        1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M208s_v2         1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M32-16ms         1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M32-8ms          1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M32dms_v2        1,2,3    None
virtualMachines  eastus       Standard_M32ls            1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M32ms            1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M32ms_v2         1,2,3    None
virtualMachines  eastus       Standard_M32ts            1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M416-208ms_v2    1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M416-208s_v2     1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M416ms_v2        1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M416s_v2         1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M64              1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
virtualMachines  eastus       Standard_M64-16ms         1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 3
